Organization,Year,Month,Request Number,Summary,Disposition,Number of Pages
Atomic Energy of Canada Limited,2013,11,A-2013-00040,Information pertaining to the awarding of the Shoe Van Service and Supply of Approved Footwear contract.,Disclosed in part,254
Atomic Energy of Canada Limited,2013,11,A-2013-00053,"Copy of all materials prepared for the Minister relating to the sale of AECL to SNC Lavalin from September 1, 2010 to December 31, 2011.",Disclosed in part,70
Atomic Energy of Canada Limited,2013,11,A-2013-00055,"Radiological Property File for 74 Harcourt Street, Port Hope.",Disclosed in part,69
Atomic Energy of Canada Limited,2013,11,A-2013-00056,"Radiological Property File for 57 Shuter Street, Port Hope.",Disclosed in part,241
Atomic Energy of Canada Limited,2013,10,A-2013-00032,"All records produced in relation to CBC story, ""Probe into AECL contracts hushed up"".",Disclosed in part,39
Atomic Energy of Canada Limited,2013,10,A-2013-00049,Information regarding the decision to hire an external lobbyist.,No Records exist,0
Atomic Energy of Canada Limited,2013,10,A-2013-00052,"Radiological Property File of 50 Mill Street, Port Hope, Ontario.",Disclosed in part,128
Atomic Energy of Canada Limited,2013,09,A-2013-00018,"Information sent by AECL or received from ""Leader Resources Services Corp."", ""Leader Energy"" (may also be found under ""Clarington Wind Power Inc."" or ""Clarington Wind Power LP"").",Disclosed in part,91
Atomic Energy of Canada Limited,2013,09,A-2013-00047,"Radiological Property File of 150 Dorset Street, Port Hope, Ontario.",Disclosed in part,193
Atomic Energy of Canada Limited,2013,09,A-2013-00048,"Radiological Property File of 117 Deblaquire Street, Port Hope, Ontario.",Disclosed in part,19
Atomic Energy of Canada Limited,2013,09,A-2013-00050,"Radiological Property File of 28 Princess Street, Port Hope, Ontario.",Disclosed in part,83
Atomic Energy of Canada Limited,2013,08,A-2013-00034,Records related to the final decision to award Precision Nuclear a contract for the Point Lepreau refurbishment project.,All exempt,0
Atomic Energy of Canada Limited,2013,08,A-2013-00039,"Radiological Property File of 278-284 Victoria Street, Port Hope, Ontario.",Disclosed in part,40
Atomic Energy of Canada Limited,2013,08,A-2013-00042,"Radiological Property File of 113 Elgin Street North, Port Hope.",Disclosed in part,17
Atomic Energy of Canada Limited,2013,08,A-2013-00043,Records related to the Point Lepreau Refurbishment Project.,All exempt,0
Atomic Energy of Canada Limited,2013,08,A-2013-00044,Records related to Bruce Power A Nuclear Plant Refurbishment.,All exempt,0
Atomic Energy of Canada Limited,2013,08,A-2013-00045,Records related to Wolsong Refurbishment Project.,All exempt,0
Atomic Energy of Canada Limited,2013,08,A-2013-00046,"List of Property Value Protection grants awarded since May 24, 2013.",Disclosed in part,1
Atomic Energy of Canada Limited,2013,07,A-2013-00030,"Radiological Property File of 85 Toronto Road, Port Hope.",Disclosed in part,190
Atomic Energy of Canada Limited,2013,07,A-2013-00031,"All records produced in disclosures of wrongdoing made to security chief from June 1 to September 30, 2008.",All exempt,0
