Organisation,Annee,Mois,Numero de la demande,Sommaire de la demande,Disposition,Nombre de pages
Conseil canadien des normes,2012,07,A2012-01,Services d'employés temporaires d'octobre 2011 à mars 2012,Divulgation totale,1
Conseil canadien des normes,2012,11,A2012-03,Services d'employés temporaires d'avril à août 2012,Divulgation totale,1
Conseil canadien des normes,2013,05,A2013-01,Services d'employés temporaires de septembre 2012 à mars 2013,Divulgation totale,1
Monnaie royale canadienne,2012,02,2011-013,"Documents de recherche, datés du 1 er janvier au  2 août 2011, portant sur les marchés actuels et  futurs des produits et services potentiels de la  Monnaie.",Communication  partielle,266
Monnaie royale canadienne,2013,05,2013/14-008,Contrats adjugés de septembre 2012 à mars 2013  dans la région de la capitale nationale pour des  services d’aide temporaire au moyen de l’Offre à  commandes et de l’Arrangement en matière  d’approvisionnement pour des services d’aide  temporaire.,Aucun document,0
Monnaie royale canadienne,2013,05,2013/14-006,La structure de la prime de rendement de la  direction de la Monnaie royale canadienne.,Communication totale,1
Monnaie royale canadienne,2013,01,2012/13-020,"Une liste comprenant le coût total des factures de  téléphonie mobile (téléphones cellulaires/ intelligents) payées par la Monnaie pour chaque  année civile pendant la période allant du 1er janvier  2010 au 18 décembre 2012, et le nom des  fournisseurs de services",Communication totale,1
Monnaie royale canadienne,2012,10,2012/13-019,Contrats adjugés d’avril à août 2012 dans la  région de la capitale nationale pour des services  d’aide temporaire au moyen de l’Offre à  commandes et de l’Arrangement en matière  d’approvisionnement pour des services d’aide  temporaire.,Aucun document,0
Monnaie royale canadienne,2012,09,2012/13-018,"Tous les contrats, y compris toutes les  modifications, adjugés à l’issue de la demande de  proposition no 2011-47 émise pour du matériel de  bureau – appareils multifonctionnels.",Communication  partielle,35
Monnaie royale canadienne,2012,12,2012/13-011,"Dossiers associés aux coûts et aux changements  dans les opérations de la Monnaie, y compris des  changements à l’équipement et à l’infrastructure,  associés à l’élimination de la pièce de un cent tel  que mentionné dans le budget fédéral 2012, entre  le 1er janvier et le 8 mai 2012.",Communication  partielle,81
Monnaie royale canadienne,2012,11,2012/13-002,"Pour la période du 1er janvier 2010 au 21 février  2012 : 1. Dossiers sur les coûts associés à l’élimination  de la pièce de un cent. 2. Les données disponibles sur les coûts en lien  avec l’élimination possible d’autres pièces ou  avec les étapes d’un tel exercice. 3. Les coûts associés à la frappe de pièces  numismatiques et de médailles, y compris les  coûts pour les alliages utilisés.",1. Communication  partielle 2. Aucun  document 3. Aucune  communication  (exception),1. 288 2. 0 3. 0
Monnaie royale canadienne,2013,01,2012/13-003,Communications entre la Monnaie et une autre  institution fédérale au sujet d’activités et de clients  internationaux de la Monnaie pour la période allant  de janvier 2011 à mars 2012― à l’exclusion de la  correspondance de routine et de la correspondance  touchant la logistique et les réunions.,Communication  partielle,138
Monnaie royale canadienne,2013,06,2013/14-009,"Renseignements sur toutes les politiques, procédures  et lignes directrices techniques concernant la  sécurité à la Monnaie royale canadienne.",Communication partielle,58
Monnaie royale canadienne,2013,06,2013/14-010,Tous les comptes rendus ou rapports sur les  économies qu’a réalisées la Monnaie en mettant fin  à la production de la pièce de un cent ainsi que  toutes les études de faisabilité sur l’élimination de la  pièce de cinq cents.,Aucun document,0
Monnaie royale canadienne,2013,07,2013/14-001,"Tous les mémos, rapports et fiches d'information  soumis au bureau du président au sujet de la  décision de récupérer les pièces de un cent, entre le  1 er février 2012 et le 1er février 2013.",Communication partielle,38
Monnaie royale canadienne,2012,09,2012/13-009,"Tous les rapports et toutes les notes de service et  notes de breffage (versions provisoires et  définitives) qui font mention ou qui traitent 1) de  Cybermonnaie; 2) de Bitcoin et 3) des  applications de paiement numérique et/ou de la  technologie de paiement numérique, entre le  1 erjanvier et le 18 avril 2012.",Communication  partielle,38
Monnaie royale canadienne,2012,08,2012/13-012,"Par année, une liste de tous les paiements versés  aux artistes qui ont conçu les motifs des pièces  mettant en valeur des personnages de la  monarchie au revers des pièces, entre le 1er janvier  2000 et le 11 juin 2012.",Communication  partielle,2
Monnaie royale canadienne,2012,07,2012/13-015,"Toute l’information concernant le développement  et la mise en œuvre de Cybermonnaie, y compris  toute l’information liée à la sécurité de la  technologie de monnaie numérique  Cybermonnaie, du 1er juin 2010 à aujourd’hui – sauf celle rendue publique, notamment  l’information disponible sur le site Web du Défi  Cybermonnaie.",Aucune  communication (exception) Un exemple d’une  présentation  PowerPoint sur le  programme  Cybermonnaie a  été fourni.,0
Monnaie royale canadienne,2012,06,2012/13-013,Contrats adjugés d’octobre 2011 à mars 2012 dans  la région de la capitale nationale pour des services  d’aide temporaire au moyen de l’Offre à  commandes et de l’Arrangement en matière  d’approvisionnement pour des services d’aide  temporaire.,Aucun document,0
Monnaie royale canadienne,2012,06,2012/13-006,"Liste de tous les gouvernements, autres que celui  du Canada, avec lesquels la Monnaie royale  canadienne a travaillé ou auxquels elle a fourni  des services depuis le 1er janvier 2001.",Communication  totale,2
Monnaie royale canadienne,2012,06,2012/13-005,Liste de tous les clients internationaux de la  Monnaie royale canadienne depuis le 1er janvier  2004.,Communication  totale,2
Monnaie royale canadienne,2012,06,2012/13-004,Toutes les notes d’information sur les activités  internationales et les clients – y compris les  gouvernements étrangers – de la Monnaie royale  canadienne depuis le 1er janvier 2010.,Communication  partielle,34
Monnaie royale canadienne,2012,05,2012/13-010,"Le nombre de pièces de monnaie (1¢, 5¢, 10¢,  25¢, 50¢, 1 $ et 2 $) frappées par année depuis  1980 (y compris l’information suivante, le cas  échéant : changement d'effigie, lieu de production, type de métal, placage, logo de la Monnaie, etc.).",Communication  totale,2
Port de Sept-Îles,2012,03,160-2-1.4,"Copie des documents suivants : - La liste de tous les documents versés dans le dossier de projet pour chacun des projets inscrits sur le Registre  canadien d'évaluation environnementale concernant le Port de Sept-Îles, incluant le quai des croisiéristes; - La liste de tous les documents pour le projet de renforcement du quai 30 qui a été brièvement inscrit sur le  Registre canadien d'évaluation environnementale, dont l'avis de projet, le rapport d'évaluation environnementale  et le rapport d'examen environnemental préalable; - Comment ont été gérés les sédiments contaminés prélevés au quai Mgr-Blanche (dans Genivar 2006) et au quai  de Consolidated Thompson, lieu de dépôt ou d'enfouissement, méthode de traitement ou d'enfouissement ainsi  que les preuves de ce traitement; - Document Genivar 2005 : prolongement du quai 41, examen environnemental préalable, rapport final présenté à  l'Administration portuaire de Sept-Îles, 151 page et annexes, ainsi que tous les documents s'y rattachant",Communication  partielle,212
Port de Sept-Îles,2012,01,160-2-1.2,Le rapport d'évaluation environnementale et rapport d'examen environnemental préalable pour le projet 09-01- 49434 Construction du quai multi-usagers - Secteur Pointe-Noire ainsi que tous les documents rattachés à ce projet  pour mener l'évaluation environnementale,Communication  totale,240
Port de Sept-Îles,2012,02,160-2-1.3,"De quelle façon et quand le plan d'utilisation des terres du Port de Sept-Îles a-t-il fait l'objet d'une consultation  publique, qui ont été les personnes consultées, comment et quand ces consultations ont été annoncées, est-ce  que la population de Sept-Îles a pu s'exprimer?",Communication  totale,1
Port de Sept-Îles,2013,05,160-2-2.2,- Tous les documents relatifs au processus d'appel d'offres pour les services de transport par hélicoptère de 2006 à  aujourd'hui - Tous les contrats et factures relatifs à des services fournis par la compagnie Héli-Boréal inc. de 2006 à aujourd'hu,Communication  totale,30
Port de Sept-Îles,2013,01,160-2-1.8,"Tous les documents portant sur le quai des croisières : l'avis de projet, l'examen préalable, analyses d'eau et de  sédiments, gestion des sédiments contaminés le cas échéant, les correspondances, les questions des experts, tout  autre document rattaché à ce projet",Communication  totale,421
Port de Sept-Îles,2012,11,160-2-1.7,Tous les documents d'évaluation environnementale au projet d'aménagement d'infrastructures de manutention  du concentré de fer - Port de Sept-Îles - Projet minier du Lac Bloom (no 08-01-46350),Communication  totale,158
Port de Sept-Îles,2012,09,160-2-1.6,"Tout document permettant de savoir comment ont été gérés les sédiments contaminés (en haut de CSE) dans la  baie de Sept-Îles, à quelle juridiction et à quelles responsabilités relèvent-ils et analyses des sédiments.",Communication  totale,1
Port de Sept-Îles,2012,07,160-2-1.5,Tous les documents d'évaluation environnementale au projet d'aménagement d'infrastructures de manutention  du concentré de fer - Port de Sept-Îles - Projet minier du Lac Bloom (no 08-01-46350),Communication  totale,158
Régime de soins de santé de la fonction publique,2013,03,38.25.6,Une copie de l’ébauche du rapport sur les  traitements de FIV.,Communication  partielle,21
Régime de soins de santé de la fonction publique,2013,06,38.25.7,Liste de maladies chroniques pour lesquelles les  vitamines et minéraux injectés par voie i.v. sont  admissibles en vertu du RSSFP.,Aucun  document  n’existe,0
Port de Trois-Rivières,2012,11,2012-001,Tous les documents et communications se rapportant aux personnes nommées par le fédéral à l'Administration  portuaire de Trois-Rivières.,Communication  totale,48
Port de Trois-Rivières,2013,07,2013-001,"Copie de la politique concernant les contrats de construction, tel que prévu aux  lettres patentes de l’APTR.",Communication  partielle,0
Musée des beaux-arts du Canada,2013,02,3025-009- A2012-0007,"Le budget de l'exposition en cours du  Musée des beaux-arts du Canada,  intitulée Les bâtisseurs. La biennale  canadienne 2012, son budget annuel  d'acquisition d'œuvres d'art  contemporain de 2011-2012 et son  budget annuel d'expositions d'art  contemporain de 2011-2012.",Divulgué en  partie,16
Musée des beaux-arts du Canada,2012,11,3025-009- 2010-024,Une copie de tous les documents  concernant la plainte déposée auprès  du Tribunal canadien des relations  professionnelles artistes-producteurs  par le Canadian Artists’  Representation / Front des artistes  canadiens (CARFAC) et par le  Regroupement des artistes en arts  visuels du Québec (RAAV) contre le  Musée des beaux-arts du Canada.,Information  entièrement  divulguée,4274
Musée des beaux-arts du Canada,2012,09,A2012-0006,Copies des contrats d'entretien  actuels pour des ascenseurs au  Musée des beaux-arts du  Canada à Ottawa,Divulgué en  partie,151
Élections Canada,2013,03,A-2012-00067,"Tous les documents (courriels, points de discussion, infocapsules, fiches d'information, notes d'information, correspondance, rapports, etc.) en lien avec le document de discussion intitulé Enjeux découlant des communications téléphoniques inappropriées reçues par des électeurs publié par Élections Canada le 7 novembre 2012.",Communication partielle,635
Élections Canada,2013,03,A-2012-00076,"Documents faisant état de plaintes, de questions et d'enquêtes concernant l'utilisation des budgets des députés pour tout enjeu électoral, du 1er janvier 2000 au 31 décembre 2005.",Aucun document n'existe,0
Élections Canada,2013,03,A-2012-00077,"Documents faisant état de plaintes, de questions et d'enquêtes concernant l'utilisation des budgets des députés pour tout enjeu électoral, du 1er janvier 2006 jusqu'à présent.",Communication partielle,27
Élections Canada,2013,03,A-2012-00085,Toute la correspondance et toutes les plaintes reçues depuis le 1er janvier 2011 concernant les activités d'Environmental Defence dans la circonscription de Thornhill.,Tous exemptés,0
Élections Canada,2013,03,A-2012-00086,"Tous les documents, y compris les courriels, qui expliquent la décision de recourir à un fournisseur unique, Ace Thouin Consultant Inc., depuis le 1er janvier 2011.",Communication partielle,33
Élections Canada,2013,03,A-2012-00087,"Tous les documents et produits élaborés par Ekos Research depuis le 1er janvier 2012, dans le cadre de son contrat avec Élections Canada.",Communication partielle,39
Élections Canada,2013,03,A-2012-00088,Toutes les demandes de propositions affichées depuis le 3 mai 2011 pour obtenir des services d'enquête.,Aucun document n'existe,0
Élections Canada,2013,03,A-2012-00091,Toute la correspondance reçue de la part du député Justin Trudeau depuis le 1er janvier 2009.,Communication partielle,16
Élections Canada,2013,03,A-2012-00096,"La « feuille de calcul sur les appels automatisés » mentionnée à la page 20 de la réponse à la demande A-2012-00074, dans laquelle Richard O'Reilly indique avoir saisi de l'information dans ladite feuille.",Communication partielle,3
Élections Canada,2013,03,A-2012-00100,"Toute la correspondance entre le directeur général des élections et le Bureau du Conseil privé, du 1er mai 2011 au 4 mars 2013.",Communication totale,11
Élections Canada,2013,04,A-2012-00089,Toutes les observations présentées dans le cadre du récent redécoupage des circonscriptions fédérales pour la Saskatchewan.,Communication partielle,2 022
Élections Canada,2013,04,A-2012-00090,Toutes les observations (en possession d'EC au 27 février 2013) présentées dans le cadre du récent processus de redécoupage des circonscriptions fédérales.*,Communication partielle,2 025
Élections Canada,2013,04,A-2012-00092,"Tous les documents concernant les interventions des députés de Timmins–James Bay et d'Algoma–Manitoulin–Kapuskasing auprès de la Commission de délimitation des circonscriptions électorales fédérales pour l'Ontario, depuis le 1er janvier 2012.",Communication partielle,163
Élections Canada,2013,04,A-2012-00093,"Les rapports fournis au directeur général des élections par le commissaire aux élections fédérales concernant la structure organisationnelle du Bureau du commissaire, y compris l'unité d'enquête, de 2010 à ce jour.",Aucun document n'existe,0
Élections Canada,2013,04,A-2012-00097,"Toute la correspondance électronique envoyée et reçue par Ageliki Apostolakos, Karen McNeil, Sylvie Jacmain, Anita Hawdur, Michèle René de Cotret et Jane Dunlop concernant des appels téléphoniques de nature électorale, du 1er avril au 31 juillet 2011.",Communication partielle,86
Élections Canada,2013,04,A-2012-00098,"L'avis de projet de marché et les documents de la demande de propositions liés aux contrats suivants : 8-13696, 12-17584, 12-17626, 12-17676, 12-17647, 11-17265, 12-17514, 12-17555, 11-17107, 10-16304.",Communication totale,255
Élections Canada,2013,04,A-2012-00102,"En référence au guide de l'approvisionnement et de la passation de marchés d'Élections Canada (version 1, 1er septembre 2011), les documents liés aux mesures prises par Élections Canada pour veiller à ce que l'embauche des enquêteurs dans le dossier des appels automatisés respecte ses lignes directrices, et aux mesures prises par Élections Canada concernant les enquêteurs ayant des liens financiers avec le Parti libéral du Canada et le Bloc Québécois.",Communication partielle,43
Élections Canada,2013,04,A-2012-00103,"Pour faire suite à la demande A-2012-0007, les documents liés au travail accompli par la Commission canadienne de sûreté nucléaire pour l'enquête sur les appels automatisés, au processus utilisé pour embaucher les enquêteurs et à l'information sur les contrats mêmes.",Communication partielle,20
Élections Canada,2013,04,A-2012-00104,"L'information sur les personnes et les entreprises embauchées pour l'enquête sur les appels automatisés; le raisonnement d'Élections Canada quant à ces embauches et au versement des montants prévus au contrat, habituellement 78 444,35 $; les cas de renvoi, de résiliation du contrat, de mesure disciplinaire ou de toute autre mesure négative liée à l'emploi, et les motifs justifiant ces mesures.",Communication partielle,15
Élections Canada,2013,04,A-2012-00105,Les commandes subséquentes pour des services d'aide temporaire liés à toutes les demandes acceptées pour les volets 1 à 5 des offres à commandes et des arrangements en matière d'approvisionnement de janvier 2012 à février 2013.,Communication partielle,22
Élections Canada,2013,05,A-2012-00099,Toute la correspondance électronique entre Jane Dunlop et le directeur général des élections du 1er mai 2011 au 4 mars 2013.,Communication partielle,924
Élections Canada,2013,05,A-2012-00101,"Tous les documents dont dispose le directeur général des élections concernant le remplaçant de William Corbett au poste de commissaire aux élections fédérales, y compris toute consultation avec des organismes gouvernementaux et des agences privées de recrutement de cadres.",Communication partielle,188
Élections Canada,2013,05,A-2013-00001,"Toutes les factures, les demandes de remboursement et les reçus soumis depuis le 1er juillet 2012 par André Thouin, Allan Mathews, Ron Lamothe, Thomas Ritchie, John Dickson et Paul Collins.",Communication partielle,67
Élections Canada,2013,05,A-2013-00002,"Liste de toutes les demandes complétées en vertu de la Loi sur l'accès à l'information de 2006 à mars 2011 inclusivement, y compris les numéros des demandes, un résumé de celles-ci, les dispositions prises et le nombre de pages communiquées.",Communication partielle,46
Élections Canada,2013,05,A-2013-00003,Toute la correspondance entre Bal Gosal et Élections Canada du 2 mai 2011 au 1er mars 2013.,Aucun document n'existe,0
Élections Canada,2013,05,A-2013-00005,"A – Toutes les transactions financières depuis le 1er janvier 2010. B – Toutes les listes des anciens directeurs, présidents, agents financiers et membres du comité exécutif de l'association conservatrice de Renfrew-Nipissing-Pembroke y compris les coordonnées de ces personnes. C – Tous les courriels connexes me concernant qui ont été échangés entre les cadres depuis avril 2011.",Communication partielle,64
Élections Canada,2013,05,A-2013-00011,"Toutes les commandes subséquentes à des offres à commandes et à des arrangements en matière d'approvisionnement visant des services de travail temporaire, publiées dans la région de la capitale nationale entre septembre 2012 et mars 2013.",Communication partielle,10
Élections Canada,2013,06,A-2012-00095,"Tous les rapports et avis présentés au directeur général des élections du 1er janvier 2013 au 4 mars 2013, pour l'aider à faire rapport au Parlement sur les appels téléphoniques de nature électorale.",Communication partielle,78
Élections Canada,2013,06,A-2013-00006,"Liste de toutes les notes d'information préparées pour le directeur général des élections Marc Mayrand, du 18 février 2013 à aujourd'hui, le 6 mai 2013.",Communication partielle,1
Élections Canada,2013,06,A-2013-00007,Copies des livrables et des rapports concernant les contrats attribués par Élections Canada.,Communication partielle,841
Élections Canada,2013,06,A-2013-00009,"Relevés des particuliers et des entreprises qui ont versé un don à un parti politique enregistré au cours des 10 dernières années, y compris 2013, sur lesquels figurent les prénom et nom de famille (ou dénomination sociale, s'il y a lieu) des donateurs, leur adresse postale complète (y compris le code postal) et le montant des dons.",Aucune communication,0
Élections Canada,2013,06,A-2013-00010,"Toutes les politiques, procédures et lignes directrices techniques de l'organisme qui concernent la sécurité, s'il en existe.",Communication partielle,289
Élections Canada,2013,07,A-2011-00132,"Ensemble des décisions, des lettres de décision, des courriels et des autres documents envoyés à toute personne ayant déposé une plainte depuis le 1er avril 2004. Inclure la date de réception de la plainte, son objet, la période d'enquête, un résumé des preuves recueillies, la date à laquelle la décision a été rendue et la décision même.",Communication partielle,49
Élections Canada,2013,07,A-2012-00047,"Tous les documents (courriels, fiches d'information, notes d'information, etc.) concernant la « recherche supplémentaire » réalisée par Élections Canada sur chacun des 52 électeurs qui ont été exclus dans Wrzesnewskyj c. Canada. Cette recherche était appelée « enquête ».",Communication partielle,260
Élections Canada,2013,07,A-2012-00069,Tous les rapports produits entre juin 2011 et octobre 2012 sur les erreurs commises aux 10 bureaux de scrutin qui ont fait l'objet de la contestation de l'élection dans la circonscription d'Etobicoke‑Centre lors de la 41e élection générale.,Communication partielle,79
Élections Canada,2013,07,A-2013-00004,"Rapports d'incident, rapports d'exception concernant l'ouverture des bureaux dans les circonscriptions fédérales le jour du scrutin et liste des bureaux n'ayant pas ouvert à temps le jour du scrutin lors de l'élection générale de 2008.",Communication partielle,72
Élections Canada,2013,07,A-2013-00012,"Documents de 2011, 2012 et 2013 sur les problèmes, les cas et les incidents liés à des dons électoraux illégaux de la part d'entreprises, ou à des dons d'entreprises camouflés sous la forme de dons d'employés individuels, et autres documents diffusés ou à diffuser.",Communication partielle,151
Élections Canada,2013,07,A-2013-00015,Liste de tous les candidats à l'élection de 2011 dont les agents officiels ont entretenu une correspondance avec Élections Canada au sujet des dépenses personnelles des candidats.,Autre,0
Élections Canada,2013,07,A-2013-00019,Nom de l'entrepreneur pour les services professionnels centrés sur les tâches et les solutions (SPTS) « ECSF-RFP-12-1783 » d'Élections Canada.,Communication partielle,1
Élections Canada,2013,07,A-2013-00020,Liste de toutes les commandes subséquentes et de tous les contrats attribués pour des services professionnels en informatique centrés sur les tâches (SPICT) du 31 mars 2012 au 31 mars 2013.,Communication partielle,1
Élections Canada,2013,08,A-2013-00008,"Obtenir toute la correspondance adressée au directeur général des élections, Marc Mayrand, ainsi que les réponses de ce dernier. La période couverte pour cette demande est du 18 février 2013 au 6 mai 2013 inclusivement.",Communication partielle,787
