"aafc-aac","Agriculture and Agri-Food Canada","","","","2ABCCA59-6C57-4886-99E7-85EC6C719218"
"aandc-aadnc","Aboriginal Affairs and Northern Development Canada","","","","d54c8e31-8f3e-46c5-bdc5-d22bc553cbc2"
"acoa-apeca","Atlantic Canada Opportunities Agency","","","","C3DDAD27-EFA9-41AB-9D12-12856482C0A8"
"aecl-eacl","Atomic Energy of Canada Limited","","","org138","D623814A-10A8-439D-9A33-181CE5390B11"
"ahrc-pac","Assisted Human Reproduction Canada","Health Canada","","",""
"apa","Atlantic Pilotage Authority Canada","Atlantic Pilotage Authority","","","ED979C5D-69C9-48A4-A3E8-F69C71D8C3D6"
"apfc-fapc","Asia-Pacific Foundation of Canada","","","",""
"bc","Bank of Canada","","","boc-bdc","0513239b-b578-4e57-b02a-55ba669ab740"
"bdc","Business Development Bank of Canada","","","","A4DA1974-0BC6-4398-A8F9-049F422A6A92"
"bwbc-pbwc","Blue Water Bridge Canada","","","","87CDEC17-64E6-4613-999D-152A033A80C0"
"cannor","Canadian Northern Economic Development Agency","","","","63CFF5A6-FB76-4938-91EB-010D3C0673DE"
"capprt-tcrpap","Canadian Artists and Producers Professional Relations Tribunal","","","","0F2D6642-8818-4671-B4EF-253F1F47AB1D"
"cas-satj","Courts Administration Service","","","","4EFC4A27-695B-4AB7-B25D-252B3D85FE2D"
"catsa-acsta","Canadian Air Transport Security Authority","","","","130002B1-6961-4764-A041-744D87E89157"
"cb-cda","Copyright Board Canada","Copyright Board of Canada","","","0560B521-A423-4A01-A993-F8AA2EA353F5"
"cbc-radio-canada","Canadian Broadcasting Company","","","",""
"cbsa-asfc","Canada Border Services Agency","","","","33DD2B45-8215-44E1-9C60-D7E829B6D48E"
"cca-cac","Canada Council for the Arts","","","",""
"ccc","Canadian Commercial Corporation","","","","5EDE278A-55CB-49A3-9BF0-0D0DFC3A73D6"
"ccohs-cchst","Canadian Centre for Occupational Health and Safety","Canadian Centre for Occupational Health & Safety","","","5FEE6EF8-AA76-4351-818D-00589C947075"
"ccperb-cceebc","Canadian Cultural Property Export Review Board","","","",""
"cdc-ccl","Canadian Dairy Commission","","","","BFEDF818-5D2D-4478-A8F9-A7FF8D6B727F"
"cdev","Canada Development Investment Corporation","","","","2195E34B-E37F-4A34-A26B-15E9E487FE22"
"cdic-sadc","Canada Deposit Insurance Corporation","","","","9A7F872D-4071-4919-87C9-BE04BE38A124"
"ceaa-acee","Canadian Environmental Assessment Agency","","","","04F792C7-7836-4581-94ED-00BCCB22AB5D"
"ced-dec","Canada Economic Development for Quebec Regions","Economic Development Agency of Canada for the Regions of Quebec","Economic Development Agency of Canada for the Regions of Quebec","","5F75CE60-887A-43DC-B182-95FFB80407D0"
"ceic-caec","Canada Employment Insurance Commission","","","","7b3c91ea-cb69-4f29-ad0c-c5e77a26260a"
"ceifb-ofaec","Canada Employment Insurance Financing Board","","","org176","c9e743e8-367c-4e33-92a7-64d008f924dc"
"ceria-acire","Canada Emission Reduction Incentives Agency","Environment Canada,Canada Emission Reduction Incentives Agency","","org277","4E732FFD-F001-4612-8421-2840CE1E8D34"
