English Name,French Name,ID
Aboriginal Affairs and Northern Development Canada,Affaires autochtones et Développement du Nord Canada,249
Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,235
Asia-Pacific Foundation of Canada,Fondation Asie Pacifique du Canada,11
Assisted Human Reproduction Canada,Procréation Assistée Canada,209
Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,276
Atlantic Pilotage Authority,Administration de Pilotage de l'Atlantique,221
Atomic Energy of Canada Limited,Énergie atomique du Canada limitée,138
Bank of Canada,Banque du Canada,212
Business Development Bank of Canada,Banque de développement du Canada,150
Canada Border Services Agency,Agence des services frontaliers du Canada,229
Canada Council for the Arts,Conseil des arts du Canada,222
Canada Deposit Insurance Corporation,Société d’assurance-dépôts du Canada,273
Canada Development Investment Corporation,Corporation de développement des investissements du Canada,148
Canada Eldor Inc. (Canada Development Investment Corporation),Canada Eldor Inc. (Corporation de développement des investissements du Canada),148
Canada Emission Reduction Incentives Agency,Agence canadienne pour l'incitation à la réduction des émissions,277
Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada,196
Canada Employment Insurance Financing Board,Office de financement de l'assurance-emploi du Canada,176
Canada Foundation for Innovation,Fondation canadienne pour l’innovation,168
Canada GEN Investment Corporation (Canada Development Investment Corporation),Corporation d'investissement GEN du Canada (Corporation de développement des investissements du Canada),148
Canada Hibernia Holding Corporation (Canada Development Investment Corporation),Société de gestion Canada Hibernia (Corporation de développement des investissements du Canada),148
Canada Industrial Relations Board,Conseil canadien des relations industrielles,188
Canada Lands Company,Société immobilière du Canada,82
Canada Mortgage and Housing Corporation,Société canadienne d'hypothèques et de logement,87
Canada Post,Postes Canada,83
Canada Revenue Agency,Agence du revenu du Canada,47
Canada Science and Technology Museums Corporation,Société des musées de sciences et technologies du Canada,202
Canada School of Public Service,École de la fonction publique du Canada,73
Canada-Newfoundland and Labrador Offshore Petroleum Board,Office Canada–Terre-Neuve-et Labrador des hydrocarbures extracôtiers,51
Canada-Nova Scotia Offshore-Petroleum Board,Office Canada-Nouvelle-Écosse des hydrocarbures extracôtiers,95
Canadian Air Transport Security Authority,Administration canadienne de la sûreté du transport aérien,250
Canadian Artists and Producers Professional Relations Tribunal,Tribunal canadien des relations professionnelles artistes-producteurs,24
Canadian Broadcasting Corportation,Radio-Canada,199
Canadian Centre for Occupational Health & Safety,Centre canadien d'hygiène et de sécurité au travail,35
Canadian Commercial Corporation,Corporation commerciale canadienne,34
Canadian Cultural Property Export Review Board,Commission canadienne d'examen des exportations de biens culturels,130
Canadian Dairy Commission,Commission canadienne du lait,151
Canadian Environmental Assessment Agency,Agence canadienne d'évaluation environnementale,270
Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,206
Canadian Forces Grievance Board,Comité des griefs des Forces canadiennes,43
Canadian Grain Commission,Commission canadienne des grains,169
Canadian Heritage,Patrimoine canadien,16
Canadian Human Rights Commission,Commission canadienne des droits de la personne,113
Canadian Human Rights Tribunal,Tribunal canadien des droits de la personne,164
Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,236
Canadian International Development Agency,Agence canadienne de développement international,218
Canadian International Trade Tribunal,Tribunal canadien du commerce extérieur,175
Canadian Museum for Human Rights,Musée canadien pour les droits de la personne,267
Canadian Museum of Civilization Corporation,Société du Musée canadien des civilisations,263
Canadian Museum of Immigration at Pier 21,Musée canadien de l’immigration du Quai 21,2
Canadian Museum of Nature,Musée Canadien de la nature,57
Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,4
Canadian Nuclear Safety Commission,Commission canadienne du sûreté nucléaire,58
Canadian Polar Commission,Commission canadienne des affaires polaires,143
Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,126
Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,90
Canadian Space Agency,Agence spatiale canadienne,3
Canadian Tourism Commission,Commission canadienne du tourisme,178
Canadian Transportation Agency,Office des transports du Canada,124
Citizenship and Immigration Canada,Citoyenneté et Immigration Canada,94
Commission for Public Complaints Against the RCMP,Commission des plaintes du public contre la GRC,136
Copyright Board of Canada,Commission du droit d'auteur du Canada,116
Correctional Service Canada,Service correctionnel Canada,193
Defence Construction Canada,Construction de Défense Canada,228
Finance Canada,Finances Canada,157
"Foreign Affairs, Trade and Development Canada","Affaires étrangères, Commerce et Développement Canada",64
Department of Justice,Ministère de la Justice,119
Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,93
Environment Canada,Environnement Canada,99
Exinvest Inc. (Export Development Canada),Exinvest Inc. (Exportations et développement Canada),62
Export Development Canada,Exportation et développement Canada,62
Farm Credit Canada,Financement agricole Canada,23
Farm Products Council of Canada,Conseil des produits agricoles du Canada,200
Federal Bridge Corporation Limited,La Société des ponts fédéraux Limitée,254
FedDev Ontario,FedDev Ontario,21
Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,224
Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,127
First Nations Statistical Institute,Institut de la statistique des Premières nations,120
First Nations Tax Commission,Commission de la fiscalité des premières nations,112
Fisheries and Oceans Canada,Pêches et Océans Canada,253
Great Lakes Pilotage Authority,Administration de Pilotage des Grands Lacs,261
Hazardous Materials Information Review Commission,Conseil de contrôle des renseignements relatifs aux matières dangereuses,49
Health Canada,Santé Canada,271
Human Resources and Skills Development Canada,Ressources humaines et Développement des compétences Canada,141
Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,5
International Development Research Centre,Centre de recherches pour le développement international,280
Industry Canada,Industrie Canada,230
Infrastructure Canada,Infrastructure Canada,5
Jacques Cartier and Champlain Bridges Incorporated,Les Ponts Jacques-Cartier et Champlain Incorporée
Laurentian Pilotage Authority Canada,Administration de pilotage des Laurentides Canada,213
Library and Archives Canada,Bibliothèque et Archives Canada,129
Marine Atlantic Inc,Marine Atlantique,238
Military Police Complaints Commission,Commission d’examen des plaintes concernant la police militaire,66
Montreal Port Authority,Administration portuaire de Montréal,74
Nanaimo Port Authority,Administration portuaire de Nanaïmo,104
National Arts Centre,Centre national des Arts,91
National Battlefields Commission,Commission des Champs de bataille nationaux,97
National Capital Commission,Commission de la capitale nationale,22
National Defence and the Canadian Forces,Défense nationale et les Forces canadiennes,32
National Energy Board,Office national de l'énergie,239
National Film Board of Canada,Office national du film du Canada,167
National Gallery of Canada,Musée des beaux-arts du Canada,59
National Research Council Canada,Conseil national de recherches Canada,172
Natural Resources Canada,Ressources naturelles Canada,115
National Roundtable on the Environment and the Economy,Table ronde nationale sur l'environnement et l'économie,100
Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada,131
Northern Pipeline Agency,Administration du pipe-line du Nord,10
Office of the Administrator of the Ship Source Oil Pollution Fund,Caisse d'indemnisation des dommages dus à la pollution par les hydrocarbures cause par les navires
Office of the Auditor General of Canada,Bureau du vérificateur général du Canada,125
Elections Canada,Élections Canada,285
Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada,205
Office of the Commissioner of the Official Languages,Commissariat aux langues officielles,258
Office of the Correctional Investigator,Bureau de l'enquêteur correctionnel,147
Office of the Information Commissioner of Canada,Commissariat à l'information du Canada,41
National Defence and Canadian Forces Ombudsman,Ombudsman de la Défense nationale et des Forces canadiennes
Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada,211
Office of the Public Sector Integrity Commissioner of Canada,Commissariat à l'intégrité du secteur public du Canada,210
Office of the Superintendent of Financial Institutions,Bureau du surintendant des institutions financières,184
Old Port of Montreal Corporation,Société du Vieux-Port de Montréal,233
Pacific Pilotage Authority,Administration de pilotage du Pacifique Canada,226
Parks Canada,Parcs Canada,165
Parole Board of Canada,Commission des libérations conditionnelles du Canada,154
Passport Canada,Passeport Canada,284
Patented Medicine Prices Review Board,Conseil d'examen du prix des médicaments brevetés,246
Pension Appeals Board,Commission d'appel des pensions,286
Pierre Elliott Trudeau Foundation,Fondation Pierre Elliott Trudeau,269
Port Alberni Port Authority,Administration portuaire de Port Alberni,174
Port of Belledune,Port de Belledune
Port of Trois-Rivières,Port de Trois-Rivières,133
PPP Canada Inc.,PPP Canada Inc.,155
Privy Council Office,Bureau du Conseil privé ,15
Public Appointments Commission Secretariat,Secrétariat de la Commission des nominations publiques
Public Health Agency of Canada,Agence de la santé publique du Canada,173
Public Prosecution Service of Canada,Service des poursuites pénales du Canada,135
Public Safety Canada,Sécurité publique Canada,98
Public Sector Pension Investment Board,Office d’investissement des régimes de pensions du secteur public,185
Public Servants Disclosure Protection Tribunal,Tribunal de la protection des fonctionnaires divulgateurs,214
Public Service Commission of Canada,Commission de la fonction publique du Canada,40
Public Service Health Care Plan,Régime de soins de santé de la fonction publique
Public Service Labour Relations Board,Commission des relations de travail dans la fonction publique,227
Public Service Staffing Tribunal,Tribunal de la dotation de la fonction publique,102
Public Works and Government Services Canada,Travaux publics et Services gouvernementaux Canada,266
Quebec Port Authority,Administration portuaire de Québec
Revera Inc. (Public Sector Pension Investment Board),Revera Inc. (Office d'investissement des régimes de pensions du secteur public),185
Royal Canadian Mint,Monnaie royale canadienne,142
Royal Canadian Mounted Police,Gendarmerie royale du Canada,18
Royal Canadian Mounted Police External Review Committee,Comité externe d'examen de la Gendarmerie Royale du Canada,81
Saguenay Port Authority,Administration portuaire du Saguenay,78
The Seaway International Bridge Corporation,"Corporation du pont international de la voie maritime, Ltée"
Security Intelligence Review Committee,Comité de surveillance des activités de renseignement de sécurité,110
Port of Sept-Iles,Port de Sept-Îles,219
Shared Services Canada,Services partagés Canada,109
Social Sciences and Humanities Research Council,Conseil de recherches en sciences humaines,92
Specific Claims Tribunal of Canada,Tribunal des revendications particulières Canada,89
St. John's Port Authority,Administration portuaire de St. John's,54
The St. Mary's River Bridge Company,Société du pont de la Rivière Ste Marie
Standards Council of Canada,Conseil canadien des normes,207
Statistics Canada,Statistique Canada,107
Status of Women Canada,Condition féminine Canada,256
Sustainable Development Technology Canada,Technologies du développement durable Canada,146
Telefilm Canada,Téléfilm Canada,187
Toronto Port Authority,Administration portuaire de Toronto,61
Transport Canada,Transports Canada,262
Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada,96
Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,215
Veterans Affairs Canada,Anciens Combattants Canada,105
Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel) Canada,139
VIA Rail Canada,VIA Rail Canada,189
Western Economic Diversification Canada,Diversification de l'économie de l'Ouest Canada,85
Yukon Environmental and Socio-economic Assessment Board,Office d’évaluation environnementale et socio-économique du Yukon
Yukon Surface Rights Board,Office des droits de surface du Yukon
