Controlled Vocabularies,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
organizationName,,,,,,,,,,,,,,
Source: GC Registry of Applied Terms : http://www.tbs-sct.gc.ca/fip-pcim/reg-eng.asp,,,,,,,,,,,,,,
Source URL: http://www.tbs-sct.gc.ca/fip-pcim/reg-eng.asp,,,,,,,,,,,,,,
"Note: Used 'Applied Title' where applicable, if no 'Applied Title' use 'Legal Title'",,,,,,,,,,,,,,
Controlled Vocabulary,,,,,,,,,,,,,,
English,English Abbr.,English Alternate Name,English Homepage,French,French Abbr.,French Site Name,French Homepage,Department Identifier,Phone Number,Fax,Email,English Address,French Address,
Aboriginal Affairs and Northern Development Canada,AANDC,Aboriginal Affairs and Northern Development Canada,http://www.aadnc-aandc.gc.ca/eng/1100100010002/1100100010021,Affaires autochtones et Développement du Nord Canada,AADNC,Affaires autochtones et Développement du Nord Canada,http://www.aadnc-aandc.gc.ca/fra/1100100010002/1100100010021,249,819-953-3947,819-953-5492,KentDaniel.Glowinski@aadnc-aandc.gc.ca,"Kent-Daniel Glowinski, B.A., J.D.
 Director
 Les Terrasses de la Chaudière
 10 Wellington Street, Room 18A
 Gatineau, Quebec  K1A 0H4","Directeur 
Les Terrasses de la Chaudière
 10, rue Wellington, pièce 18A
 Gatineau, (Québec)  K1A 0H4",
Agriculture and Agri-Food Canada,AAFC,Agriculture and Agri-Food Canada,http://www.agr.gc.ca/index_e.php,Agriculture et Agroalimentaire Canada,AAC,Agriculture et Agroalimentaire Canada,http://www.agr.gc.ca/index_f.php,235,613-773-1386,613-773-1380,nancy.pawelek@agr.gc.ca,"Nancy Pawelek
 Access to Information and Privacy Coordinator
 Tower 4, 5th Floor
 1341 Baseline Road, Room 244
 Ottawa, Ontario  K1A 0C5","Nancy Pawelek
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Tour 4, 5e étage
 1341, rue Baseline, Pièce 244
 Ottawa, (Ontario)  K1A 0C5",
Asia-Pacific Foundation of Canada,APFC,Asia-Pacific Foundation of Canada,http://www.asiapacific.ca/,Fondation Asie Pacifique du Canada,FAPC,Fondation Asie Pacifique du Canada,http://www.asiapacific.ca/fr,11,604-630-1530,604-681-1370,atip.coordinator@asiapacific.ca,"K. Forbes
 Access to Information and Privacy Coordinator
 890 West Pender Street, Suite 220
 Vancouver, British Columbia  V6C 1J9","K. Forbes
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 890, rue Pender Ouest, bureau 220
 Vancouver, (Colombie-Britannique)  V6C 1J9",
Assisted Human Reproduction Canada,AHRC,Health Canada,,Procréation Assistée Canada,PAC,Santé Canada,,209,613-946 -3179,613-941-4541,amanda.wilson@hc-sc.gc.ca,"Amanda Wilson
 Access to Information and Privacy Coordinator
 Holland Cross, Tower B
 7th Floor, Suite 700, Room 741
 1600 Scott Street, Address locator: 3107A
 Ottawa, Ontario  K1A 0K9","Amanda Wilson
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Holland Cross, tour B
 7ième plancher, suite 700, pièce 741
 Indice postale: 3107A
 Ottawa, (Ontario)  K1A 0K9",
Atlantic Canada Opportunities Agency,ACOA,Atlantic Canada Opportunities Agency,http://www.acoa-apeca.gc.ca/Eng/Pages/Home.aspx,Agence de promotion économique du Canada atlantique,APECA,Agence de promotion économique du Canada atlantique,http://www.acoa-apeca.gc.ca/fra/Pages/Accueil.aspx,276,506-851-3144,506-851-7403,diane.cormier@acoa-apeca.gc.ca,"Diane Cormier
 Access to Information and Privacy Coordinator
 Blue Cross Centre
 644 Main Street
 P.O. Box 6051
 Moncton, New Brunswick  E1C 9J8","Diane Cormier
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Centre Croix-Bleue
 644, rue Main
 C.P. 6051
 Moncton, (Nouveau Brunswick)  E1C 9J8",
Atlantic Pilotage Authority Canada,APA,Atlantic Pilotage Authority,http://www.atlanticpilotage.com/eng/index.html,Administration de pilotage de l'Atlantique Canada,APA,Administration de Pilotage de l'Atlantique,http://www.atlanticpilotage.com/fra/index.html,221,902-426-8657,902-426-4004,pmacarthur@atlanticpilotage.com,"Peter MacArthur
 Access to Information and Privacy Coordinator
 Cogswell Tower
 2000 Barrington Street, Suite 910
 Halifax, Nova Scotia  B3J 3K1","Peter MacArthur
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Tour Cogswell
 2000, rue Barrington, bureau 910
 Halifax, (Nouvelle-Écosse)  B3J 3K1",
Atomic Energy of Canada Limited,AECL,Atomic Energy of Canada Limited,http://www.aecl.ca/site3.aspx,"Énergie atomique du Canada, Limitée",EACL,Énergie atomique du Canada limitée,http://www.aecl.ca/site4.aspx,138,613-782-2025,613-782-2017,boulaisj@aecl.ca,"Jean Boulais
 Access to Information and Privacy Coordinator
 Place de Ville, Tower B
 112 Kent Street, Suite 501
 Ottawa, Ontario  K1A 0S4","Jean Boulais
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Place de Ville, tour B
 112, rue Kent, bureau 501
 Ottawa, (Ontario)  K1A 0S4",
Bank of Canada,BC,Bank of Canada,http://www.bankofcanada.ca/,Banque du Canada,BC,Banque du Canada,http://www.banqueducanada.ca/?__utma=1.1059580390.1382031536.1382031536.1382031536.1&__utmb=1.1.10.1382031536&__utmc=1&__utmx=-&__utmz=1.1382031536.1.1.utmcsr=google|utmccn=(organic)|utmcmd=organic|utmctr=(not%20provided)&__utmv=-&__utmk=44949028,212,613-782-7669,613-782-7317,ATIP-AIPRP@bankofcanada.ca,"Marie Bordeleau
 Access to Information and Privacy Coordinator
 234 Laurier Avenue West
 Ottawa, Ontario  K1A 0G9","Marie Bordeleau
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 234, avenue Laurier Ouest
 Ottawa, (Ontario)  K1A 0G9",
Blue Water Bridge Canada,BWBC,,http://www.bwba.org/home,Pont Blue Water Canada,PBWC,,http://www.bwba.org/home,103,519-336-2720,519-336-7622,mhenderson@bwbc.gc.ca,"Monica Henderson
 Access to Information and Privacy Coordinator
 1555 Venetian Boulevard
 Point Edward, Ontario  N7T 0A9","Monica Henderson
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 1555, Venetian Blvd.
 Point Edward, (Ontario)  N7T 0A9",
Business Development Bank of Canada,BDC,Business Development Bank of Canada,http://www.bdc.ca/en/Pages/home.aspx,Banque de développement du Canada,BDC,Banque de développement du Canada,http://www.bdc.ca/FR/Pages/accueil.aspx,150,514-283-3727,514-283-5626,atip-aiprp@bdc.ca,"Julie Bernier
 Access to Information and Privacy Coordinator
 5 Place Ville-Marie, Suite 400
 Montreal, Quebec  H3B 5E7","Julie Bernier
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 5, Place Ville-Marie, pièce 400
 Montreal, (Québec)  H3B 5E7",
