Aboriginal Affairs and Northern Development Canada,Affaires autochtones et Développement du Nord Canada
Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
Atomic Energy of Canada Limited,Énergie atomique du Canada limitée
Bank of Canada,Banque du Canada
Business Development Bank of Canada,Banque de développement du Canada
Canada Border Services Agency,Agence des services frontaliers du Canada
Canada Council for the Arts,Conseil des arts du Canada
Canada Deposit Insurance Corporation,Société d’assurance-dépôts du Canada
Canada Development  Investment Corporation,Corporation de développement des investissements du Canada
Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
Canada Foundation for Innovation,Fondation canadienne pour l’innovation
Canada Industrial Relations Board,Conseil canadien des relations industrielles
Canada Lands Company,Société immobilière du Canada
Canada Mortgage and Housing Corporation,Société canadienne d'hypothèques et de logement
Canada Post,Postes Canada
Canada Revenue Agency,Agence du revenu du Canada
Canada School of  Public Service,École de la fonction  publique du Canada
Canada Science and Technology Museums Corporation,
Canada-Newfoundland and Labrador Offshore Petroleum Board,Office Canada–Terre-Neuve-et Labrador des hydrocarbures extracôtiers
Canadian Air Transport Security Authority,Administration canadienne de la sûreté du transport aérien
Canadian Centre for Occupational Health & Safety,Centre canadien d'hygiène et de sécurité au travail
Canadian Commercial Corporation,Corporation commerciale canadienne
Canadian Dairy Commission,Commission canadienne du lait
Canadian Environmental Assessment Agency,Agence canadienne d'évaluation environnementale
Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
Canadian Forces Grievance Board,Comité des griefs des Forces canadiennes
Canadian Grain Commission,Commission canadienne des grains
Canadian Heritage,Patrimoine canadien
Canadian Human Rights Commission,Commission canadienne des droits de la personne
Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
Canadian International Trade Tribunal,Tribunal canadien du commerce extérieur
Canadian Museum for Human Rights,Musée canadien pour les droits de la personne
Canadian Museum of Civilization Corporation,Société du Musée canadien des civilisations
Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
Canadian Nuclear Safety Commission,Commission canadienne du sûreté nucléaire
Canadian Polar Commission,Commission canadienne des affaires polaires
Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
Canadian Security Intelligence Service,Service canadien du renseignement de sécurité
Canadian Space Agency,Agence spatiale canadienne
Canadian Tourism Commission,Commission canadienne du tourisme
Canadian Transportation Agency,Office des transports du Canada
Citizenship and Immigration Canada,Citoyenneté et Immigration Canada
Commission for Public Complaints Against the RCMP,Commission des plaintes du public contre la GRC
Copyright Board of Canada,Commission du droit d'auteur du Canada
Correctional Service Canada,Service correctionnel Canada
Defence Construction Canada,Construction de Défense Canada
Department of Justice,Ministère de la Justice
Elections Canada,Élections Canada
Environment Canada,Environnement Canada
Export Development Canada,Exportation et développement Canada
Farm Credit Canada,Financement agricole Canada
FedDev Ontario,FedDev Ontario
Federal Bridge Corporation Limited,La Société des ponts fédéraux Limitée
Finance Canada,Finances Canada
Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada
Fisheries and Oceans Canada,Pêches et Océans Canada
"Foreign Affairs, Trade and Development Canada","Affaires étrangères, Commerce et Développement Canada"
Great Lakes Pilotage Authority,Administration de Pilotage des Grands Lacs
Health Canada,Santé Canada
http://www.cbc.radio-canada.ca/_structures/default/_img/logo-large.png,Radio-Canada
Human Resources and Skills Development Canada,Ressources humaines et Développement des compétences Canada
Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada
Industry Canada,Industrie Canada
Infrastructure Canada,Infrastructure Canada
International Development Research Centre,Centre de recherches pour le développement international
Jacques Cartier and Champlain Bridges Incorporated,Les Ponts Jacques-Cartier et Champlain Incorporée
Jacques Cartier and Champlain Bridges IncorporatedJacques Cartier and Champlain Bridges Incorporated,
Library and Archives Canada,Bibliothèque et Archives Canada
Military Police Complaints Commission,Commission d’examen des plaintes concernant la police militaire
Montreal Port Authority,Administration portuaire de Montréal
Nanaimo Port Authority,Administration portuaire de Nanaïmo
National Arts Centre,Centre national des Arts
National Capital Commission,Commission de la capitale nationale
National Defence and Canadian Forces Ombudsman,Ombudsman de la Défense nationale et des Forces canadiennes
National Defence and the Canadian Forces,Défense nationale et les Forces canadiennes
National Energy Board,Office national de l'énergie
National Film Board of Canada,Office national du film du Canada
National Gallery of Canada,Musée des beaux-arts du Canada
National Research Council Canada,Conseil national de recherches Canada
Natural Resources Canada,Ressources naturelles Canada
Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada
Office of the Auditor General of Canada,Bureau du vérificateur général du Canada
Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada
Office of the Commissioner of the Official Languages,Commissariat aux langues officielles
Office of the Correctional Investigator,Bureau de l'enquêteur correctionnel
Office of the Information Commissioner of Canada,Commissariat à l'information du Canada
Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada
Office of the Public Sector Integrity Commissioner of Canada,Commissariat à l'intégrité du secteur public du Canada
Office of the Superintendent of Financial Institutions,Bureau du surintendant des institutions financières
Old Port of Montreal Corporation,Société du Vieux-Port de Montréal
Parks Canada,Parcs Canada
Parole Board of Canada,Commission des libérations conditionnelles du Canada
Passport Canada,Passeport Canada
Port Alberni Port Authority,Administration portuaire de Port Alberni
Port of Sept-Iles,Port de Sept-Îles
Port of Trois-Rivi�res,Port de Trois-Rivières
Privy Council Office,Bureau du Conseil privé
Public Health Agency of Canada,Agence de la santé publique du Canada
Public Prosecution Service of Canada,Service des poursuites pénales du Canada
Public Safety Canada,Sécurité publique Canada
Public Sector Pension Investment Board,Office d’investissement des régimes de pensions du secteur public
Public Service Commission of Canada,Commission de la fonction publique du Canada
