17843en,Aboriginal Affairs and Northern Development Canada,2012,07,A-2011-01533,"Records generated by the Ministerﾒs Office dealing with the Aboriginal Peoples Television Network. From October 27, 2011 to present.",Disclosed in part,31
18047en,Aboriginal Affairs and Northern Development Canada,2012,01,A-2011-01533,"Records dealing with the Aboriginal Peoples Television Network generated in the Minister's Office from October 27, 2011 to present.",Disclosed in part,31
17735en,Aboriginal Affairs and Northern Development Canada,2012,10,A-2012-00781,"All call-ups processed by AANDC in the National Capital Region, under the terms of the following Standing Offers for Mediation Services: SOA# 20-10-6015 and SOA# 20-10-6014.",All disclosed,3
17736en,Aboriginal Affairs and Northern Development Canada,2012,10,A-2012-00782,List of mediators that has been approved to provide mediation services under the terms of Standing Offers SOA# 20-10-6015 and SOA# 20-10-6014.,All disclosed,2
19027en,Atomic Energy of Canada Limited,2012,02,A-2011-00062,"Copy of the Radiological Property File of the Malvern Town Center in Port Hope, Ontario",Disclosed in part,293
19005en,Atomic Energy of Canada Limited,2012,07,A-2011-00067,"Records relating to appraisals done by Royce Williamson on behalf of AECL from February 1, 2011 to February 15, 2012.",Disclosed in part,48
19023en,Atomic Energy of Canada Limited,2012,11,A-2011-00078,"Copy of the Radiological Property File of 38 Toronto Rd. in Port Hope, Ontario",Disclosed in part,27
19006en,Atomic Energy of Canada Limited,2012,11,A-2012-00005,"Provide the total number of Full time FTE's dedicated to the PVP with corresponding salary costs, total accommodation costs (including rent/utilities) broken down by fiscal year.",Disclosed entirely,1
18982en,Atomic Energy of Canada Limited,2013,01,A-2012-00038 and A-2012-00039,Information used by consultants for the production of the Atmospheric Study and Socio-Economic Study.,No records exists,0
18942en,Bank of Canada,2013,01,A-2012-00101,"All emails, PINs and Blackberry messages (BBMs),  including attachments that were sent or received by  Jeremy Farr between November 29, 2012 and  December 6, 2012 that relate to questions from The  Globe and Mail about Mr. Carneyﾒs and his familyﾒs  stay at Scott Brisonﾒs home and/or  Mr. Carney and the Liberal Party of Canada. Also any  that include discussion of whether the stayover was a  conflict of interest.",Disclosed in Part,1
13664en,Canada Border Services Agency,2012,01,A-2011-04118,Telephone numbers and e-mail addresses for all Canada Border Services Agency offices and officers across Canada.,Disclosed in part,251
20343en,Canada Council for the Arts,2012,02,A-2011-0086,"Contracts related to event planning services such as (but not limited to):  Conferences, Conventions, Galas, Appreciation Events, Meetings, Lectures, Parties, Staff Appreciations Events, Receptions Annual General Meetings (AGM), Campaigns, Trade Shows, Team Building Workshops, Training Sessions, Promotional Events, Informational Sessions, Training Seminars, Product Launches.",Does not exist,0
1763en,Canada Foundation for Innovation,2012,09,2012-003,"A copy of all new documents on file within  the last year associated with project #19774,  project #2721 and IOF #100028.",Disclosed in part,21
20651en,Canada Post,2012,09,A-2012-00047,"Summary reports created since April 1, 2009 to date from Security and Investigation Services on theft of mail and theft after delivery incidents, including three year trend analysis, observations and analysis, charts, etc.",Disclosed in part,1447
